id_categoria|ds_categoria|perc_parceiro
1|Categoria - 001|6.0
2|Categoria - 002|4.0
3|Categoria - 003|4.0
4|Categoria - 004|3.0
5|Categoria - 005|2.0
6|Categoria - 006|6.0
7|Categoria - 007|2.0
8|Categoria - 008|6.0
9|Categoria - 009|2.0
10|Categoria - 010|3.0
11|Categoria - 011|4.0
12|Categoria - 012|2.0
13|Categoria - 013|4.0
14|Categoria - 014|3.0
15|Categoria - 015|2.0
16|Categoria - 016|1.0
17|Categoria - 017|4.0
18|Categoria - 018|3.0
19|Categoria - 019|2.0
20|Categoria - 020|3.0
21|Categoria - 021|2.0
22|Categoria - 022|5.0
23|Categoria - 023|6.0
24|Categoria - 024|2.0
25|Categoria - 025|1.0
26|Categoria - 026|6.0
27|Categoria - 027|5.0
28|Categoria - 028|2.0
29|Categoria - 029|2.0
30|Categoria - 030|5.0
31|Categoria - 031|5.0
32|Categoria - 032|4.0
33|Categoria - 033|4.0
34|Categoria - 034|6.0
35|Categoria - 035|6.0
36|Categoria - 036|3.0
37|Categoria - 037|3.0
38|Categoria - 038|2.0
39|Categoria - 039|2.0
40|Categoria - 040|2.0
41|Categoria - 041|2.0
42|Categoria - 042|2.0
43|Categoria - 043|2.0
