id_cidade|ds_cidade|id_estado
1044|Betim|1
33|ACRELANDIA|2
481|ASSIS BRASIL|2
945|BRASILEIA|2
1371|CAPIXABA|2
1832|CRUZEIRO DO SUL|2
2001|Cravinhos|2
2208|EPITACIOLANDIA|2
2320|FEIJO|2
3833|MANCIO LIMA|2
3849|MANOEL URBANO|2
5556|RIO BRANCO|2
5695|Rio Branco|2
6504|SENA MADUREIRA|2
6512|SENADOR GUIOMARD|2
6759|SÃO PAULO|2
6895|TARAUACA|2
7147|UBERLANDIA|2
7438|XAPURI|2
59|AGUA BRANCA|3
244|ANADIA|3
387|ARAPIRACA|3
488|ATALAIA|3
557|Arapiraca|3
613|BALSAMO (ARAPIRACA)|3
619|BANANEIRAS (ARAPIRACA)|3
662|BARRA DE SANTO ANTONIO|3
667|BARRA DE SAO MIGUEL|3
691|BARRA GRANDE (MARAGOGI)|3
727|BATALHA|3
752|BELEM|3
766|BELO MONTE|3
840|BOCA DA MATA|3
939|BRANQUINHA|3
1132|CACIMBINHAS|3
1169|CAJARANA (ARAPIRACA)|3
1175|CAJUEIRO|3
1221|CAMPESTRE|3
1238|CAMPO ALEGRE|3
1255|CAMPO GRANDE|3
1290|CANAFISTULA (PALMEIRA DOS INDI|3
1292|CANAPI|3
1316|CANGANDU (ARAPIRACA)|3
1346|CAPELA|3
1443|CARNEIROS|3
1450|CARRASCO (ARAPIRACA)|3
1556|CHA PRETA|3
1620|COITE DO NOIA|3
1636|COLONIA LEOPOLDINA|3
1706|CONTAGEM|3
1711|COQUEIRO SECO|3
1773|CORURIPE|3
1774|CORURIPE DA CAL (PALMEIRA DOS|3
1792|CRAIBAS|3
1897|Cajueiro|3
2021|DELMIRO GOUVEIA|3
2080|DOIS RIACHOS|3
2252|ESTRELA DE ALAGOAS|3
2323|FEIRA GRANDE|3
2332|FELIZ DESERTO|3
2359|FLEXEIRAS|3
2519|GIRAU DO PONCIANO|3
2695|Girau do Ponciano|3
2773|IBATEGUARA|3
2845|IGACI|3
2862|IGREJA NOVA|3
2926|INHAPI|3
3212|Igaci|3
3224|Inhapi|3
3291|JACARE DOS HOMENS|3
3306|JACUIPE|3
3352|JAPARATINGA|3
3367|JARAMATAIA|3
3397|JEQUIA DA PRAIA|3
3433|JOAQUIM GOMES|3
3473|JUNDIA|3
3476|JUNQUEIRO|3
3536|Junqueiro|3
3562|LAGOA DA CANOA|3
3572|LAGOA DO CALDEIRAO (PALMEIRA D|3
3573|LAGOA DO CALDEIRAO (PALMEIRA DOS INDIOS)|3
3580|LAGOA DO RANCHO (ARAPIRACA)|3
3617|LAJES DO CALDEIRAO (PALMEIRA D|3
3633|LARANJAL (ARAPIRACA)|3
3674|LIMOEIRO DE ANADIA|3
3730|LUZIAPOLIS (CAMPO ALEGRE)|3
3778|MACEIO|3
3812|MAJOR ISIDORO|3
3861|MAR VERMELHO|3
3873|MARAGOGI|3
3883|MARAVILHA|3
3899|MARECHAL DEODORO|3
3915|MARIBONDO|3
3960|MATA GRANDE|3
3992|MATRIZ DE CAMARAGIBE|3
4027|MESSIAS|3
4042|MINADOR DO NEGRAO|3
4161|MONTEIROPOLIS|3
4230|MURICI|3
4247|Maceio|3
4248|Maceió|3
