id_produto|ds_produto|id_subcategoria
10817|Produto - 0000010817|3112
31035|Produto - 0000031035|505
63155|Produto - 0000063155|3112
64590|Produto - 0000064590|3112
73470|Produto - 0000073470|3112
122334|Produto - 0000122334|38
150822|Produto - 0000150822|2066
182237|Produto - 0000182237|3206
205837|Produto - 0000205837|317
311710|Produto - 0000311710|1857
320508|Produto - 0000320508|1787
345831|Produto - 0000345831|311
382774|Produto - 0000382774|3112
384113|Produto - 0000384113|3112
384871|Produto - 0000384871|3112
386382|Produto - 0000386382|3112
402253|Produto - 0000402253|2184
408572|Produto - 0000408572|3112
446043|Produto - 0000446043|1582
455082|Produto - 0000455082|1582
456314|Produto - 0000456314|738
459946|Produto - 0000459946|2450
464147|Produto - 0000464147|1040
473385|Produto - 0000473385|562
477371|Produto - 0000477371|1367
482333|Produto - 0000482333|1582
484920|Produto - 0000484920|3531
486358|Produto - 0000486358|2842
511200|Produto - 0000511200|2689
526280|Produto - 0000526280|1582
526799|Produto - 0000526799|3112
539244|Produto - 0000539244|1162
553571|Produto - 0000553571|438
567690|Produto - 0000567690|3531
571927|Produto - 0000571927|3531
580595|Produto - 0000580595|1048
599057|Produto - 0000599057|3531
607909|Produto - 0000607909|587
616195|Produto - 0000616195|1040
630619|Produto - 0000630619|3531
635591|Produto - 0000635591|1582
657924|Produto - 0000657924|1106
671174|Produto - 0000671174|3531
689498|Produto - 0000689498|1315
705864|Produto - 0000705864|1106
714384|Produto - 0000714384|1582
726855|Produto - 0000726855|1582
736345|Produto - 0000736345|1664
739002|Produto - 0000739002|2200
739345|Produto - 0000739345|1582
753966|Produto - 0000753966|1048
759195|Produto - 0000759195|3531
789041|Produto - 0000789041|1106
793339|Produto - 0000793339|1106
807202|Produto - 0000807202|1048
810675|Produto - 0000810675|3129
821794|Produto - 0000821794|1603
827206|Produto - 0000827206|3172
843263|Produto - 0000843263|1880
843684|Produto - 0000843684|1582
850574|Produto - 0000850574|3212
862602|Produto - 0000862602|1106
