id_subcategoria|ds_subcategoria|id_categoria
131|Sub-categoria - 00131|1
136|Sub-categoria - 00136|1
286|Sub-categoria - 00286|1
377|Sub-categoria - 00377|1
394|Sub-categoria - 00394|1
494|Sub-categoria - 00494|1
504|Sub-categoria - 00504|1
510|Sub-categoria - 00510|1
582|Sub-categoria - 00582|1
664|Sub-categoria - 00664|1
747|Sub-categoria - 00747|1
920|Sub-categoria - 00920|1
1036|Sub-categoria - 01036|1
1165|Sub-categoria - 01165|1
1207|Sub-categoria - 01207|1
1421|Sub-categoria - 01421|1
1454|Sub-categoria - 01454|1
1461|Sub-categoria - 01461|1
1478|Sub-categoria - 01478|1
1481|Sub-categoria - 01481|1
1659|Sub-categoria - 01659|1
1663|Sub-categoria - 01663|1
1720|Sub-categoria - 01720|1
1754|Sub-categoria - 01754|1
2044|Sub-categoria - 02044|1
2265|Sub-categoria - 02265|1
2312|Sub-categoria - 02312|1
2366|Sub-categoria - 02366|1
2518|Sub-categoria - 02518|1
2534|Sub-categoria - 02534|1
6|Sub-categoria - 00006|2
29|Sub-categoria - 00029|2
38|Sub-categoria - 00038|2
57|Sub-categoria - 00057|2
117|Sub-categoria - 00117|2
150|Sub-categoria - 00150|2
166|Sub-categoria - 00166|2
215|Sub-categoria - 00215|2
262|Sub-categoria - 00262|2
266|Sub-categoria - 00266|2
385|Sub-categoria - 00385|2
388|Sub-categoria - 00388|2
390|Sub-categoria - 00390|2
391|Sub-categoria - 00391|2
399|Sub-categoria - 00399|2
516|Sub-categoria - 00516|2
1293|Sub-categoria - 01293|2
1408|Sub-categoria - 01408|2
1471|Sub-categoria - 01471|2
1643|Sub-categoria - 01643|2
1652|Sub-categoria - 01652|2
1707|Sub-categoria - 01707|2
2017|Sub-categoria - 02017|2
2154|Sub-categoria - 02154|2
2199|Sub-categoria - 02199|2
2268|Sub-categoria - 02268|2
2498|Sub-categoria - 02498|2
3023|Sub-categoria - 03023|2
3111|Sub-categoria - 03111|2
4|Sub-categoria - 00004|3
10|Sub-categoria - 00010|3
64|Sub-categoria - 00064|3
83|Sub-categoria - 00083|3
103|Sub-categoria - 00103|3
352|Sub-categoria - 00352|3
356|Sub-categoria - 00356|3
357|Sub-categoria - 00357|3
358|Sub-categoria - 00358|3
362|Sub-categoria - 00362|3
363|Sub-categoria - 00363|3
364|Sub-categoria - 00364|3
369|Sub-categoria - 00369|3
392|Sub-categoria - 00392|3
2021|Sub-categoria - 02021|3
